English,Lithuanian
Adelaide,Adelaidė
Albury,Olberis
Auckland,Oklendas
Auki,Aukis
Bairiki,Bairikis
Ballarat,Balaratas
Bathurst,Baterstas
Bendigo,Bendigas
Bomaderry,Bomaderis
Boulder,Bolderis
Brisbane,Brisbenas
Bunbury,Banberis
Bundaberg,Bandabergas
Burnie,Bernis
Cairns,Kernsas
Canberra,Kanbera
Christchurch,Kraistčerčas
Coffs Harbour,Kofs Harboras
Colonia,Kolonija
Darwin,Darvinas
Devonport,Devonportas
Dubbo,Dubas
Dunedin,Danidinas
Geelong,Džilongas
Geraldton,Džeraldtonas
Gisborne,Gisbornas
Gizo,Gizas
Gladstone,Gladstonas
Gold Coast,Gold Kostas
Hamilton,Hamiltonas
Hastings,Hastingsas
Hervey Bay,Hervi Bėjus
Hobart,Hobartas
Invercargill,Inverkargilas
Kalgoorile,Kalgurlis
Kolonia,Kolonija
Latrobe Valley,Latrob Valis
Launceston,Lonsestonas
Lismore,Lismoras
London,Londonas
Mackay,Makajus
Mandurah,Mandura
Melbourne,Melburnas
Mildura,Mildjūra
Napier,Neipiras
Nelson,Nelsonas
Newcastle,Niukaslas
New Plymouth,Naujasis Plymutas
Nowra,Naura
Orange,Orindžas
Palmerston North,Palmerston Nortas
Perth,Pertas
Port Macquarie,Port Makvairas
Rockhampton,Rokhamptonas
Shepparton,Šepartonas
Sunshine Coast,Sanšain Kostas
Sydney,Sidnėjus
Tamworth,Tamvertas
Tofol,Tofolas
Toowoomba,Tuvumba
Townsville,Taunsvilis
Tulagi,Tulagis
Tweed Heads,Tvydas
Wagga Wagga,Vaga Vaga
Warrnambool,Vornambulas
Wellington,Velingtonas
Weno,Venas
Whanganui,Vanganuijs
Whangārei,Vangarėjus
Wodonga,Vodonga
Wollonong,Vulongongas
